review,label
"Terrible quality, broke after one use.",negative
"Poor build, not worth the price.",negative
"Cheap materials and bad design.",negative
"I will never buy this again.",negative
"The product stopped working after a week.",negative
"Not as described, very disappointed.",negative
"It arrived broken and unusable.",negative
"The worst product I have ever bought.",negative
"Completely useless and a waste of money.",negative
"Awful experience, do not recommend.",negative
"Very poor quality control.",negative
"Feels flimsy and cheap.",negative
"Fell apart after first use.",negative
"Not functional at all.",negative
"Looks good but works terribly.",negative
"Extremely overpriced for what it is.",negative
"Stopped working after a few days.",negative
"Caused more problems than it solved.",negative
"Build quality is extremely poor.",negative
"Arrived late and damaged.",negative
"Customer service was unhelpful.",negative
"Performance is very poor.",negative
"Does not match the description.",negative
"Feels like a fake product.",negative
"Not worth even half the price.",negative
"Extremely disappointing purchase.",negative
"Looks nice but not durable.",negative
"Failed to meet expectations.",negative
"Totally unreliable product.",negative
"Broke almost immediately.",negative
"Feels like a cheap knockoff.",negative
"Zero value for the money.",negative
"Not fit for purpose.",negative
"Performance is substandard.",negative
"Assembly was a nightmare.",negative
"Would not recommend at all.",negative
"Looks cheap and feels cheap.",negative
"Poor materials and finish.",negative
"Completely impractical.",negative
"Very inconvenient to use.",negative
"Feels like it's made of paper.",negative
"Packaging was torn and dirty.",negative
"Defective right out of the box.",negative
"Not suitable for long-term use.",negative
"Very hard to operate.",negative
"Totally different from photos.",negative
"Feels fragile and unsafe.",negative
"Missing important parts.",negative
"Arrived with scratches and dents.",negative
"Assembly instructions were useless.",negative
"Uncomfortable to handle.",negative
"Extremely loud and annoying.",negative
"Worst customer service ever.",negative
"Product is a complete scam.",negative
"Totally unsatisfactory.",negative
"Design is ugly and outdated.",negative
"Not energy-efficient at all.",negative
"Too big and bulky.",negative
"Does not hold up well.",negative
"Performance is very inconsistent.",negative
"Needs constant maintenance.",negative
"Feels like second-hand.",negative
"Cheap build and poor design.",negative
"Not the color shown online.",negative
"Very unstable product.",negative
"Poor battery life.",negative
"Does not work as promised.",negative
"Totally overhyped product.",negative
"Broke within hours.",negative
"Feels unsafe to use.",negative
"Completely ineffective.",negative
"Assembly was impossible.",negative
"Extremely flimsy build.",negative
"Totally useless purchase.",negative
"Feels unfinished.",negative
"Not even close to what I expected.",negative
"Arrived incomplete.",negative
"Very ugly design.",negative
"Not strong enough.",negative
"Performance drops quickly.",negative
"Low-grade product.",negative
"Not comfortable to use.",negative
"Totally frustrating to use.",negative
"Not worth the hassle.",negative
"Product smells weird.",negative
"Does not work properly.",negative
"Very low quality.",negative
"Stopped working randomly.",negative
"Packaging was damaged.",negative
"Poorly built product.",negative
"Does not fit the description.",negative
"Totally a waste of money.",negative
"Cheap and fragile.",negative
"Not functional at all.",negative
"Completely unreliable.",negative
